Source,Target,Weight
高俅,林冲,101
高俅,宋江,206
高俅,呼延,95
高俅,卢俊义,30
高俅,戴宗,30
高俅,燕青,32
高俅,吴用,40
高俅,张清,21
史进,宋江,78
史进,徐宁,17
史进,花荣,26
史进,朱仝,19
史进,吴用,16
史进,石秀,16
史进,李逵,18
史进,杨志,27
史进,卢俊义,23
林冲,高俅,101
林冲,柴进,112
林冲,杨志,35
林冲,吴用,178
林冲,晁盖,137
林冲,公孙胜,62
林冲,刘唐,65
林冲,宋江,337
林冲,花荣,88
林冲,秦明,71
林冲,戴宗,28
林冲,李逵,93
林冲,李俊,24
林冲,张顺,19
林冲,杨雄,23
林冲,石秀,20
林冲,朱仝,23
林冲,呼延,98
林冲,徐宁,68
林冲,武松,30
林冲,卢俊义,54
林冲,关胜,76
林冲,张清,71
林冲,乔道清,44
柴进,林冲,112
柴进,吴用,53
柴进,宋江,267
柴进,武松,60
柴进,朱仝,115
柴进,雷横,27
柴进,李逵,77
柴进,花荣,20
柴进,戴宗,19
柴进,石秀,17
柴进,卢俊义,22
柴进,燕青,71
柴进,方腊,42
杨志,林冲,35
杨志,梁中书,176
杨志,吴用,18
杨志,武松,39
杨志,宋江,67
杨志,呼延,55
杨志,秦明,20
杨志,徐宁,15
杨志,史进,27
杨志,关胜,16
杨志,卢俊义,55
梁中书,杨志,176
梁中书,吴用,31
梁中书,宋江,43
梁中书,卢俊义,32
朱仝,雷横,323
朱仝,晁盖,103
朱仝,公孙胜,15
朱仝,刘唐,16
朱仝,宋江,314
朱仝,吴用,157
朱仝,李逵,230
朱仝,柴进,115
朱仝,林冲,23
朱仝,花荣,63
朱仝,秦明,33
朱仝,李俊,27
朱仝,戴宗,20
朱仝,杨雄,17
朱仝,武松,28
朱仝,呼延,22
朱仝,徐宁,29
朱仝,史进,19
朱仝,卢俊义,35
朱仝,关胜,20
雷横,朱仝,323
雷横,晁盖,139
雷横,刘唐,52
雷横,吴用,64
雷横,宋江,105
雷横,李逵,48
雷横,柴进,27
雷横,卢俊义,19
晁盖,雷横,139
晁盖,朱仝,103
晁盖,刘唐,111
晁盖,吴用,234
晁盖,公孙胜,92
晁盖,宋江,405
晁盖,林冲,137
晁盖,花荣,44
晁盖,秦明,20
晁盖,戴宗,61
晁盖,李逵,67
晁盖,杨雄,24
晁盖,石秀,20
晁盖,呼延,33
刘唐,晁盖,111
刘唐,雷横,52
刘唐,吴用,98
刘唐,公孙胜,40
刘唐,宋江,215
刘唐,林冲,65
刘唐,朱仝,16
刘唐,花荣,30
刘唐,秦明,17
刘唐,戴宗,22
刘唐,李俊,16
刘唐,李逵,40
刘唐,杨雄,19
刘唐,呼延,21
刘唐,武松,42
刘唐,卢俊义,87
刘唐,张清,52
刘唐,乔道清,19
吴用,雷横,64
吴用,刘唐,98
吴用,晁盖,234
吴用,梁中书,31
吴用,林冲,178
吴用,杨志,18
吴用,公孙胜,133
吴用,宋江,1269
吴用,柴进,53
吴用,花荣,126
吴用,秦明,53
吴用,戴宗,93
吴用,李俊,80
吴用,李逵,268
吴用,张顺,57
吴用,石秀,39
吴用,杨雄,18
吴用,朱仝,157
吴用,呼延,85
吴用,徐宁,61
吴用,武松,50
吴用,史进,16
吴用,卢俊义,314
吴用,关胜,43
吴用,燕青,36
吴用,张清,47
吴用,高俅,40
吴用,方腊,44
公孙胜,刘唐,40
公孙胜,晁盖,92
公孙胜,吴用,133
公孙胜,宋江,418
公孙胜,朱仝,15
公孙胜,林冲,62
公孙胜,花荣,20
公孙胜,秦明,32
公孙胜,戴宗,130
公孙胜,李逵,198
公孙胜,李俊,23
公孙胜,石秀,15
公孙胜,呼延,22
公孙胜,徐宁,24
公孙胜,卢俊义,88
公孙胜,张清,26
公孙胜,乔道清,185
宋江,梁中书,43
宋江,晁盖,405
宋江,公孙胜,418
宋江,刘唐,215
宋江,吴用,1269
宋江,林冲,337
宋江,朱仝,314
宋江,雷横,105
宋江,柴进,267
宋江,武松,388
宋江,花荣,674
宋江,杨志,67
宋江,秦明,366
宋江,戴宗,690
宋江,李俊,425
宋江,张顺,249
宋江,李逵,1400
宋江,杨雄,84
宋江,石秀,158
宋江,高俅,206
宋江,呼延,279
宋江,徐宁,207
宋江,史进,78
宋江,卢俊义,834
